id,ship_mode,segment,country,city,state,postal_code,region,category,sub_category,sales,quantity,discount,profit,profit_margin_percentage,discount_impact_category,total_sales_city
68,"Standard Class",Corporate,"United States",Gilbert,Arizona,85234,West,"Office Supplies",Art,1113.02,8,0.20,111.30,10.00,"Positive Impact",4172.38
69,"Standard Class",Corporate,"United States",Gilbert,Arizona,85234,West,Technology,Phones,167.97,4,0.20,62.99,37.50,"Positive Impact",4172.38
70,"First Class",Consumer,"United States",Springfield,Virginia,22153,South,"Office Supplies",Paper,75.88,2,0.00,35.66,47.00,"No Discount",43054.35
71,"Standard Class",Consumer,"United States","New York City","New York",10009,East,"Office Supplies",Binders,4.62,1,0.20,1.73,37.45,"Positive Impact",256368.12
72,"Second Class",Consumer,"United States",Jackson,Michigan,49201,Central,"Office Supplies",Paper,19.05,3,0.00,8.76,45.98,"No Discount",24963.85
73,"Standard Class",Consumer,"United States",Memphis,Tennessee,38109,South,Furniture,Chairs,831.94,8,0.20,-114.39,-13.75,"Negative Impact",5942.32
74,"Standard Class",Consumer,"United States",Memphis,Tennessee,38109,South,Furniture,Furnishings,97.04,2,0.20,1.21,1.25,"Positive Impact",5942.32
75,"Standard Class",Consumer,"United States",Memphis,Tennessee,38109,South,"Office Supplies",Storage,72.78,1,0.20,-18.20,-25.01,"Negative Impact",5942.32
76,"First Class",Corporate,"United States",Houston,Texas,77041,Central,"Office Supplies",Binders,1.25,3,0.80,-1.93,-154.40,"Negative Impact",64504.71
77,"First Class",Corporate,"United States",Houston,Texas,77041,Central,Furniture,Furnishings,9.71,3,0.60,-5.82,-59.94,"Negative Impact",64504.71
78,"First Class",Corporate,"United States",Houston,Texas,77041,Central,"Office Supplies",Storage,27.24,3,0.20,2.72,9.99,"Positive Impact",64504.71
79,"Second Class",Consumer,"United States",Houston,Texas,77070,Central,Furniture,Furnishings,19.30,5,0.60,-14.48,-75.03,"Negative Impact",64504.71
80,"First Class",Corporate,"United States",Decatur,Alabama,35601,South,"Office Supplies",Appliances,208.16,1,0.00,56.20,27.00,"No Discount",6544.30
81,"First Class",Corporate,"United States",Decatur,Alabama,35601,South,"Office Supplies",Binders,16.74,3,0.00,8.04,48.03,"No Discount",6544.30
82,"Standard Class",Consumer,"United States","San Francisco",California,94122,West,"Office Supplies",Art,14.90,5,0.00,4.17,27.99,"No Discount",112669.09
83,"Standard Class",Consumer,"United States","San Francisco",California,94122,West,"Office Supplies",Storage,21.39,1,0.00,6.20,28.99,"No Discount",112669.09
84,"Standard Class",Corporate,"United States",Durham,"North Carolina",27707,South,"Office Supplies",Envelopes,200.98,7,0.20,62.81,31.25,"Positive Impact",879.95
85,"First Class","Home Office","United States",Chicago,Illinois,60623,Central,"Office Supplies",Storage,230.38,3,0.20,-48.95,-21.25,"Negative Impact",48539.59
86,"Second Class",Consumer,"United States",Columbia,"South Carolina",29203,South,Furniture,Chairs,301.96,2,0.00,33.22,11.00,"No Discount",25283.34
87,"Standard Class",Consumer,"United States",Rochester,Minnesota,55901,Central,Technology,Accessories,19.99,1,0.00,6.80,34.02,"No Discount",7974.53
88,"Standard Class",Consumer,"United States",Rochester,Minnesota,55901,Central,"Office Supplies",Labels,6.16,2,0.00,2.96,48.05,"No Discount",7974.53
89,"Second Class","Home Office","United States",Houston,Texas,77095,Central,"Office Supplies",Storage,158.37,7,0.20,13.86,8.75,"Positive Impact",64504.71
90,"Standard Class",Corporate,"United States","Los Angeles",California,90036,West,"Office Supplies",Art,20.10,3,0.00,6.63,32.99,"No Discount",175851.33
91,"Standard Class",Corporate,"United States","Los Angeles",California,90036,West,Technology,Phones,73.58,2,0.20,8.28,11.25,"Positive Impact",175851.33
92,"Standard Class",Corporate,"United States","Los Angeles",California,90036,West,"Office Supplies",Paper,6.48,1,0.00,3.11,47.99,"No Discount",175851.33
93,"Second Class",Consumer,"United States",Minneapolis,Minnesota,55407,Central,"Office Supplies",Paper,12.96,2,0.00,6.22,47.99,"No Discount",16870.54
94,"Second Class",Consumer,"United States",Minneapolis,Minnesota,55407,Central,Furniture,Furnishings,53.34,3,0.00,16.54,31.01,"No Discount",16870.54
95,"Second Class",Consumer,"United States",Minneapolis,Minnesota,55407,Central,"Office Supplies",Binders,32.96,2,0.00,16.15,49.00,"No Discount",16870.54
96,"Standard Class","Home Office","United States",Portland,Oregon,97206,West,"Office Supplies",Binders,5.68,1,0.70,-3.79,-66.73,"Negative Impact",4051.86
97,"Second Class","Home Office","United States","New York City","New York",10009,East,Furniture,Furnishings,96.53,7,0.00,40.54,42.00,"No Discount",256368.12
98,"First Class",Consumer,"United States","San Francisco",California,94122,West,"Office Supplies",Binders,51.31,3,0.20,17.96,35.00,"Positive Impact",112669.09
99,"Standard Class",Corporate,"United States","Saint Paul",Minnesota,55106,Central,"Office Supplies",Appliances,77.88,6,0.00,22.59,29.01,"No Discount",192.83
100,"Standard Class","Home Office","United States",Chicago,Illinois,60610,Central,"Office Supplies",Paper,64.62,7,0.20,22.62,35.00,"Positive Impact",48539.59
101,"Standard Class","Home Office","United States",Chicago,Illinois,60610,Central,Technology,Accessories,95.98,3,0.20,-10.80,-11.25,"Negative Impact",48539.59
102,"Standard Class","Home Office","United States",Chicago,Illinois,60610,Central,"Office Supplies",Binders,1.79,3,0.80,-3.04,-169.83,"Negative Impact",48539.59
103,"Second Class",Consumer,"United States",Rochester,Minnesota,55901,Central,"Office Supplies",Paper,23.92,4,0.00,11.72,49.00,"No Discount",7974.53
104,"Standard Class",Consumer,"United States",Aurora,Colorado,80013,West,Technology,Accessories,238.90,6,0.20,-26.88,-11.25,"Negative Impact",11656.47
105,"Standard Class",Consumer,"United States",Aurora,Colorado,80013,West,Furniture,Furnishings,102.36,3,0.20,-3.84,-3.75,"Negative Impact",11656.47
106,"Standard Class",Consumer,"United States",Aurora,Colorado,80013,West,"Office Supplies",Binders,36.88,3,0.70,-25.82,-70.01,"Negative Impact",11656.47
107,"Standard Class",Consumer,"United States",Charlotte,"North Carolina",28205,South,Technology,Accessories,74.11,8,0.20,17.60,23.75,"Positive Impact",13693.33
108,"Standard Class",Consumer,"United States",Charlotte,"North Carolina",28205,South,Technology,Phones,27.99,1,0.20,2.10,7.50,"Positive Impact",13693.33
109,"Standard Class",Consumer,"United States",Charlotte,"North Carolina",28205,South,"Office Supplies",Art,3.30,1,0.20,1.07,32.42,"Positive Impact",13693.33
110,"Standard Class","Home Office","United States","Orland Park",Illinois,60462,Central,Technology,Accessories,339.96,5,0.20,67.99,20.00,"Positive Impact",339.96
111,"Standard Class",Corporate,"United States","New York City","New York",10035,East,Furniture,Furnishings,41.96,2,0.00,10.91,26.00,"No Discount",256368.12
112,"Standard Class",Consumer,"United States",Urbandale,Iowa,50322,Central,"Office Supplies",Art,75.96,2,0.00,22.79,30.00,"No Discount",149.12
113,"Standard Class",Consumer,"United States",Urbandale,Iowa,50322,Central,"Office Supplies",Binders,27.24,6,0.00,13.35,49.01,"No Discount",149.12
114,"Second Class",Consumer,"United States",Columbus,Ohio,43229,East,"Office Supplies",Fasteners,40.10,14,0.20,14.53,36.23,"Positive Impact",38706.23
115,"Second Class",Consumer,"United States",Columbus,Ohio,43229,East,"Office Supplies",Envelopes,4.72,2,0.20,1.65,34.96,"Positive Impact",38706.23
116,"Second Class",Consumer,"United States",Columbus,Ohio,43229,East,"Office Supplies",Paper,23.98,3,0.20,7.49,31.23,"Positive Impact",38706.23
117,"Second Class",Consumer,"United States",Columbus,Ohio,43229,East,"Office Supplies",Envelopes,130.46,6,0.20,44.03,33.75,"Positive Impact",38706.23
118,"Standard Class",Consumer,"United States",Seattle,Washington,98103,West,Furniture,Tables,787.53,3,0.00,165.38,21.00,"No Discount",119540.74
119,"Standard Class",Corporate,"United States",Bristol,Tennessee,37620,South,"Office Supplies",Binders,157.79,1,0.70,-115.72,-73.34,"Negative Impact",1251.18
120,"First Class",Consumer,"United States",Wilmington,Delaware,19805,East,Furniture,Furnishings,47.04,3,0.00,18.35,39.01,"No Discount",7297.07
121,"First Class",Consumer,"United States",Wilmington,Delaware,19805,East,"Office Supplies",Binders,30.84,4,0.00,13.88,45.01,"No Discount",7297.07
122,"First Class",Consumer,"United States",Wilmington,Delaware,19805,East,"Office Supplies",Storage,226.56,6,0.00,63.44,28.00,"No Discount",7297.07
123,"First Class",Consumer,"United States",Wilmington,Delaware,19805,East,"Office Supplies",Envelopes,115.02,9,0.00,51.76,45.00,"No Discount",7297.07
124,"First Class",Consumer,"United States",Wilmington,Delaware,19805,East,Technology,Phones,68.04,7,0.00,19.73,29.00,"No Discount",7297.07
125,"Second Class","Home Office","United States",Houston,Texas,77041,Central,Furniture,Chairs,600.56,3,0.30,-8.58,-1.43,"Negative Impact",64504.71
126,"Standard Class",Consumer,"United States",Bloomington,Illinois,61701,Central,Furniture,Tables,617.70,6,0.50,-407.68,-66.00,"Negative Impact",1567.75
127,"Standard Class",Consumer,"United States",Phoenix,Arizona,85023,West,"Office Supplies",Binders,2.39,2,0.70,-1.83,-76.57,"Negative Impact",11000.27
128,"Standard Class",Consumer,"United States",Phoenix,Arizona,85023,West,"Office Supplies",Storage,243.99,7,0.20,30.50,12.50,"Positive Impact",11000.27
129,"Second Class","Home Office","United States","Los Angeles",California,90004,West,Furniture,Chairs,81.42,2,0.20,-9.16,-11.25,"Negative Impact",175851.33
130,"Second Class","Home Office","United States","Los Angeles",California,90004,West,Furniture,Furnishings,238.56,3,0.00,26.24,11.00,"No Discount",175851.33
131,"First Class",Corporate,"United States",Columbus,Ohio,43229,East,Technology,Phones,59.97,5,0.40,-11.99,-19.99,"Negative Impact",38706.23
132,"First Class",Corporate,"United States",Columbus,Ohio,43229,East,"Office Supplies",Paper,78.30,2,0.20,29.36,37.50,"Positive Impact",38706.23
133,"First Class",Corporate,"United States",Columbus,Ohio,43229,East,"Office Supplies",Fasteners,21.46,9,0.20,6.97,32.48,"Positive Impact",38706.23
134,"Standard Class",Consumer,"United States",Roseville,California,95661,West,"Office Supplies",Paper,20.04,3,0.00,9.62,48.00,"No Discount",3588.63
135,"Standard Class",Consumer,"United States",Roseville,California,95661,West,"Office Supplies",Paper,35.44,1,0.00,16.66,47.01,"No Discount",3588.63
136,"Standard Class",Consumer,"United States",Roseville,California,95661,West,"Office Supplies",Art,11.52,4,0.00,3.46,30.03,"No Discount",3588.63
137,"Standard Class",Consumer,"United States",Roseville,California,95661,West,"Office Supplies",Fasteners,4.02,2,0.00,1.97,49.00,"No Discount",3588.63
138,"Standard Class",Consumer,"United States",Roseville,California,95661,West,"Office Supplies",Binders,76.18,3,0.20,26.66,35.00,"Positive Impact",3588.63
139,"Standard Class",Consumer,"United States",Roseville,California,95661,West,"Office Supplies",Supplies,65.88,6,0.00,18.45,28.01,"No Discount",3588.63
140,"Standard Class",Consumer,"United States",Roseville,California,95661,West,Furniture,Furnishings,43.12,14,0.00,20.70,48.01,"No Discount",3588.63
141,"Second Class",Corporate,"United States",Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,82.80,2,0.20,10.35,12.50,"Positive Impact",109077.09
142,"Standard Class",Corporate,"United States","San Francisco",California,94122,West,"Office Supplies",Art,8.82,3,0.00,2.38,26.98,"No Discount",112669.09
143,"Standard Class",Corporate,"United States","San Francisco",California,94122,West,"Office Supplies",Envelopes,10.86,3,0.00,5.10,46.96,"No Discount",112669.09
144,"Standard Class",Corporate,"United States","San Francisco",California,94122,West,"Office Supplies",Paper,143.70,3,0.00,68.98,48.00,"No Discount",112669.09
145,"Standard Class",Consumer,"United States",Independence,Missouri,64055,Central,"Office Supplies",Appliances,839.43,3,0.00,218.25,26.00,"No Discount",2417.37
146,"Standard Class",Consumer,"United States",Pasadena,California,91104,West,"Office Supplies",Storage,671.93,7,0.00,20.16,3.00,"No Discount",6590.16
147,"Standard Class","Home Office","United States",Newark,Ohio,43055,East,Furniture,Furnishings,93.89,4,0.20,12.91,13.75,"Positive Impact",28576.15
148,"Standard Class",Corporate,"United States",Franklin,Wisconsin,53132,Central,Technology,Phones,384.45,11,0.00,103.80,27.00,"No Discount",11257.03
149,"Standard Class",Corporate,"United States",Franklin,Wisconsin,53132,Central,Technology,Phones,149.97,3,0.00,6.00,4.00,"No Discount",11257.03
150,"Standard Class",Corporate,"United States",Franklin,Wisconsin,53132,Central,Furniture,Chairs,1951.84,8,0.00,585.55,30.00,"No Discount",11257.03
151,"Standard Class",Corporate,"United States",Franklin,Wisconsin,53132,Central,"Office Supplies",Binders,171.55,5,0.00,80.63,47.00,"No Discount",11257.03
152,"First Class","Home Office","United States",Scottsdale,Arizona,85254,West,"Office Supplies",Appliances,157.92,5,0.20,17.77,11.25,"Positive Impact",1466.30
153,"First Class","Home Office","United States",Scottsdale,Arizona,85254,West,Technology,Phones,203.18,2,0.20,15.24,7.50,"Positive Impact",1466.30
154,"First Class",Corporate,"United States","San Jose",California,95123,West,"Office Supplies",Paper,58.38,7,0.00,26.27,45.00,"No Discount",6071.22
155,"First Class",Corporate,"United States","San Jose",California,95123,West,"Office Supplies",Paper,105.52,4,0.00,48.54,46.00,"No Discount",6071.22
156,"First Class",Corporate,"United States","San Jose",California,95123,West,"Office Supplies",Storage,80.88,6,0.00,21.03,26.00,"No Discount",6071.22
157,"Standard Class","Home Office","United States",Seattle,Washington,98105,West,"Office Supplies",Art,6.63,3,0.00,1.79,27.00,"No Discount",119540.74
158,"Second Class",Consumer,"United States",Seattle,Washington,98115,West,Furniture,Chairs,457.57,2,0.20,51.48,11.25,"Positive Impact",119540.74
159,"Standard Class",Consumer,"United States",Edmond,Oklahoma,73034,Central,"Office Supplies",Labels,14.62,2,0.00,6.87,46.99,"No Discount",959.55
160,"Standard Class",Consumer,"United States",Edmond,Oklahoma,73034,Central,Technology,Phones,944.93,7,0.00,236.23,25.00,"No Discount",959.55
161,"First Class",Consumer,"United States","Los Angeles",California,90045,West,"Office Supplies",Paper,5.98,1,0.00,2.69,44.98,"No Discount",175851.33
162,"Second Class",Consumer,"United States",Philadelphia,Pennsylvania,19134,East,Technology,Accessories,54.38,2,0.20,1.36,2.50,"Positive Impact",109077.09
163,"Standard Class",Consumer,"United States",Carlsbad,"New Mexico",88220,West,"Office Supplies",Envelopes,28.40,5,0.00,13.35,47.01,"No Discount",419.35
164,"Standard Class",Consumer,"United States",Seattle,Washington,98115,West,"Office Supplies",Binders,27.68,2,0.20,9.69,35.01,"Positive Impact",119540.74
165,"Standard Class",Consumer,"United States","San Antonio",Texas,78207,Central,"Office Supplies",Art,9.94,3,0.20,2.73,27.46,"Positive Impact",21843.54
166,"Standard Class",Consumer,"United States","San Antonio",Texas,78207,Central,Technology,Machines,8159.95,8,0.40,-1359.99,-16.67,"Negative Impact",21843.54
167,"Standard Class",Consumer,"United States","San Antonio",Texas,78207,Central,"Office Supplies",Storage,275.93,3,0.20,-58.63,-21.25,"Negative Impact",21843.54
168,"Standard Class",Consumer,"United States","San Antonio",Texas,78207,Central,Furniture,Chairs,1740.06,9,0.30,-24.86,-1.43,"Negative Impact",21843.54
169,"Standard Class",Consumer,"United States","San Antonio",Texas,78207,Central,"Office Supplies",Art,32.06,6,0.20,6.81,21.24,"Positive Impact",21843.54
170,"Standard Class",Consumer,"United States","San Antonio",Texas,78207,Central,"Office Supplies",Appliances,177.98,5,0.80,-453.85,-255.00,"Negative Impact",21843.54
171,"Standard Class",Consumer,"United States","San Antonio",Texas,78207,Central,Technology,Phones,143.98,3,0.20,9.00,6.25,"Positive Impact",21843.54
172,"Standard Class",Consumer,"United States","Los Angeles",California,90004,West,"Office Supplies",Paper,20.94,3,0.00,9.84,46.99,"No Discount",175851.33
173,"Standard Class",Consumer,"United States","Los Angeles",California,90004,West,"Office Supplies",Paper,110.96,2,0.00,53.26,48.00,"No Discount",175851.33
174,"Standard Class",Consumer,"United States","Los Angeles",California,90004,West,Furniture,Chairs,340.14,7,0.20,21.26,6.25,"Positive Impact",175851.33
175,"Standard Class",Corporate,"United States",Chicago,Illinois,60623,Central,"Office Supplies",Appliances,52.45,2,0.80,-131.12,-249.99,"Negative Impact",48539.59
176,"Standard Class",Corporate,"United States",Chicago,Illinois,60623,Central,"Office Supplies",Labels,20.16,4,0.20,6.55,32.49,"Positive Impact",48539.59
177,"Second Class",Consumer,"United States",Houston,Texas,77036,Central,"Office Supplies",Appliances,97.26,4,0.80,-243.16,-250.01,"Negative Impact",64504.71
178,"Second Class",Consumer,"United States",Newark,Ohio,43055,East,Furniture,Chairs,396.80,7,0.30,-11.34,-2.86,"Negative Impact",28576.15
179,"Second Class",Consumer,"United States",Newark,Ohio,43055,East,"Office Supplies",Supplies,15.88,5,0.20,-3.77,-23.74,"Negative Impact",28576.15
180,"Standard Class","Home Office","United States","New York City","New York",10009,East,"Office Supplies",Art,3.28,1,0.00,1.41,42.99,"No Discount",256368.12
181,"Second Class",Corporate,"United States",Decatur,Illinois,62521,Central,"Office Supplies",Storage,24.82,2,0.20,1.86,7.49,"Positive Impact",6544.30
182,"Second Class",Corporate,"United States",Decatur,Illinois,62521,Central,Technology,Accessories,408.74,7,0.20,76.64,18.75,"Positive Impact",6544.30
183,"Second Class","Home Office","United States",Monroe,Louisiana,71203,South,Technology,Phones,503.96,4,0.00,131.03,26.00,"No Discount",2970.43
184,"Second Class","Home Office","United States",Monroe,Louisiana,71203,South,Technology,Phones,149.95,5,0.00,41.99,28.00,"No Discount",2970.43
185,"Second Class","Home Office","United States",Monroe,Louisiana,71203,South,Technology,Accessories,29.00,2,0.00,7.25,25.00,"No Discount",2970.43
186,"Standard Class",Consumer,"United States",Fairfield,Connecticut,6824,East,"Office Supplies",Binders,7.16,2,0.00,3.44,48.04,"No Discount",9483.85
187,"Standard Class","Home Office","United States","Los Angeles",California,90032,West,Technology,Accessories,176.80,8,0.00,22.98,13.00,"No Discount",175851.33
